DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,CY,2017,95.927,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,CY,2018,92.491,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,CY,2019,92.792,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,CY,2020,93.077,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DE,2017,63.959,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DE,2018,63.478,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DE,2019,67.055,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DE,2020,63.711,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DK,2017,11.345,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DK,2018,22.704,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DK,2019,38.698,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,DK,2020,44.856,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,FI,2017,43.941,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,FI,2018,44.816,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,FI,2019,42.112,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,FI,2020,42.032,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,HR,2017,53.152,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,HR,2018,52.691,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,HR,2019,56.216,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,HR,2020,53.589,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,IS,2017,18.395,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,IS,2018,19.143,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,IS,2019,16.106,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,IS,2020,12.156,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,NO,2017,-593.337,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,NO,2018,-554.773,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,NO,2019,-567.105,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,NO,2020,-623.059,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,PL,2017,38.269,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,PL,2018,43.505,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,PL,2019,45.237,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,PL,2020,42.760,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,SE,2017,26.658,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,SE,2018,29.059,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,SE,2019,30.044,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,SE,2020,33.511,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,XK,2017,29.957,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,XK,2018,29.274,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,XK,2019,30.534,
ESTAT:T2020_RD320(1.0),04/03/22 11:00:00,A,TOTAL,PC,XK,2020,29.537,
